dataset_ID,interval,spikes
5,1,6062
5,2,10732
5,3,7970
5,4,11341
5,5,13649
5,6,76261
5,7,124955
5,8,70800
5,9,67544
5,10,9228
5,11,6442
5,12,8643
5,13,14095
5,14,12238
5,15,13011
5,16,15372
5,17,13731
5,18,28134
5,19,80686
5,20,14231
5,21,17189
5,22,46208
5,23,11530
5,24,10312
5,25,9399
5,26,9397
5,27,17658
5,28,9483
5,29,12726
5,30,17362
7,31,5462
7,32,7079
7,33,12861
7,34,9218
7,35,11137
7,36,80360
7,37,87684
7,38,78251
7,39,76618
7,40,7615
7,41,4993
7,42,8712
7,43,10428
7,44,9082
7,45,7815
7,46,11223
7,47,9933
7,48,34925
7,49,102265
7,50,10828
7,51,13321
7,52,38897
7,53,19828
7,54,11690
7,55,12409
7,56,17123
7,57,9805
7,58,16595
7,59,14372
7,60,15634
0,61,5950
0,62,7132
0,63,24436
0,64,14017
0,65,8748
0,66,102580
0,67,115106
0,68,77393
0,69,54874
0,70,12815
0,71,7866
0,72,5344
0,73,8528
0,74,7001
0,75,10214
0,76,11318
0,77,16039
0,78,16228
0,79,109570
0,80,10616
0,81,9551
0,82,48411
0,83,18143
0,84,15951
0,85,14500
0,86,11074
0,87,14010
0,88,11480
0,89,8516
0,90,12053
3,91,6781
3,92,12801
3,93,14218
3,94,17653
3,95,10006
3,96,89340
3,97,91998
3,98,76674
3,99,61815
3,100,5165
3,101,5525
3,102,11207
3,103,8282
3,104,16026
3,105,12337
3,106,10882
3,107,6852
3,108,27620
3,109,75166
3,110,14298
3,111,17370
3,112,31605
3,113,18522
3,114,9730
3,115,17959
3,116,7731
3,117,9435
3,118,11327
3,119,21474
3,120,8266
0,121,5950
0,122,7132
0,123,24436
0,124,14017
0,125,8748
0,126,102580
0,127,115106
0,128,77393
0,129,54874
0,130,12815
0,131,7866
0,132,5344
0,133,8528
0,134,7001
0,135,10214
0,136,11318
0,137,16039
0,138,16228
0,139,109570
0,140,10616
0,141,9551
0,142,48411
0,143,18143
0,144,15951
0,145,14500
0,146,11074
0,147,14010
0,148,11480
0,149,8516
0,150,12053
5,151,6062
5,152,10732
5,153,7970
5,154,11341
5,155,13649
5,156,76261
5,157,124955
5,158,70800
5,159,67544
5,160,9228
5,161,6442
5,162,8643
5,163,14095
5,164,12238
5,165,13011
5,166,15372
5,167,13731
5,168,28134
5,169,80686
5,170,14231
5,171,17189
5,172,46208
5,173,11530
5,174,10312
5,175,9399
5,176,9397
5,177,17658
5,178,9483
5,179,12726
5,180,17362
7,181,5462
7,182,7079
7,183,12861
7,184,9218
7,185,11137
7,186,80360
7,187,87684
7,188,78251
7,189,76618
7,190,7615
7,191,4993
7,192,8712
7,193,10428
7,194,9082
7,195,7815
7,196,11223
7,197,9933
7,198,34925
7,199,102265
7,200,10828
7,201,13321
7,202,38897
7,203,19828
7,204,11690
7,205,12409
7,206,17123
7,207,9805
7,208,16595
7,209,14372
7,210,15634
3,211,6781
3,212,12801
3,213,14218
3,214,17653
3,215,10006
3,216,89340
3,217,91998
3,218,76674
3,219,61815
3,220,5165
3,221,5525
3,222,11207
3,223,8282
3,224,16026
3,225,12337
3,226,10882
3,227,6852
3,228,27620
3,229,75166
3,230,14298
3,231,17370
3,232,31605
3,233,18522
3,234,9730
3,235,17959
3,236,7731
3,237,9435
3,238,11327
3,239,21474
3,240,8266
3,241,6781
3,242,12801
3,243,14218
3,244,17653
3,245,10006
3,246,89340
3,247,91998
3,248,76674
3,249,61815
3,250,5165
3,251,5525
3,252,11207
3,253,8282
3,254,16026
3,255,12337
3,256,10882
3,257,6852
3,258,27620
3,259,75166
3,260,14298
3,261,17370
3,262,31605
3,263,18522
3,264,9730
3,265,17959
3,266,7731
3,267,9435
3,268,11327
3,269,21474
3,270,8266
5,271,6062
5,272,10732
5,273,7970
5,274,11341
5,275,13649
5,276,76261
5,277,124955
5,278,70800
5,279,67544
5,280,9228
5,281,6442
5,282,8643
5,283,14095
5,284,12238
5,285,13011
5,286,15372
5,287,13731
5,288,28134
5,289,80686
5,290,14231
5,291,17189
5,292,46208
5,293,11530
5,294,10312
5,295,9399
5,296,9397
5,297,17658
5,298,9483
5,299,12726
5,300,17362
7,301,5462
7,302,7079
7,303,12861
7,304,9218
7,305,11137
7,306,80360
7,307,87684
7,308,78251
7,309,76618
7,310,7615
7,311,4993
7,312,8712
7,313,10428
7,314,9082
7,315,7815
7,316,11223
7,317,9933
7,318,34925
7,319,102265
7,320,10828
7,321,13321
7,322,38897
7,323,19828
7,324,11690
7,325,12409
7,326,17123
7,327,9805
7,328,16595
7,329,14372
7,330,15634
0,331,5950
0,332,7132
0,333,24436
0,334,14017
0,335,8748
0,336,102580
0,337,115106
0,338,77393
0,339,54874
0,340,12815
0,341,7866
0,342,5344
0,343,8528
0,344,7001
0,345,10214
0,346,11318
0,347,16039
0,348,16228
0,349,109570
0,350,10616
0,351,9551
0,352,48411
0,353,18143
0,354,15951
0,355,14500
0,356,11074
0,357,14010
0,358,11480
0,359,8516
0,360,12053
5,361,6062
5,362,10732
5,363,7970
5,364,11341
5,365,13649
5,366,76261
5,367,124955
5,368,70800
5,369,67544
5,370,9228
5,371,6442
5,372,8643
5,373,14095
5,374,12238
5,375,13011
5,376,15372
5,377,13731
5,378,28134
5,379,80686
5,380,14231
5,381,17189
5,382,46208
5,383,11530
5,384,10312
5,385,9399
5,386,9397
5,387,17658
5,388,9483
5,389,12726
5,390,17362
7,391,5462
7,392,7079
7,393,12861
7,394,9218
7,395,11137
7,396,80360
7,397,87684
7,398,78251
7,399,76618
7,400,7615
7,401,4993
7,402,8712
7,403,10428
7,404,9082
7,405,7815
7,406,11223
7,407,9933
7,408,34925
7,409,102265
7,410,10828
7,411,13321
7,412,38897
7,413,19828
7,414,11690
7,415,12409
7,416,17123
7,417,9805
7,418,16595
7,419,14372
7,420,15634
3,421,6781
3,422,12801
3,423,14218
3,424,17653
3,425,10006
3,426,89340
3,427,91998
3,428,76674
3,429,61815
3,430,5165
3,431,5525
3,432,11207
3,433,8282
3,434,16026
3,435,12337
3,436,10882
3,437,6852
3,438,27620
3,439,75166
3,440,14298
3,441,17370
3,442,31605
3,443,18522
3,444,9730
3,445,17959
3,446,7731
3,447,9435
3,448,11327
3,449,21474
3,450,8266
0,451,5950
0,452,7132
0,453,24436
0,454,14017
0,455,8748
