dataset_ID,interval,attack,spikes,class,differenceSpikes_1
3,1,FLO,6781,0,0
3,2,FLO,12801,0,6020
3,3,FLO,14218,0,1417
3,4,FLO,17653,0,3435
3,5,FLO,10006,0,-7647
3,6,FLO,89340,0,79334
3,7,FLO,104056,1,14716
3,8,FLO,78089,0,-25967
3,9,FLO,60910,0,-17179
3,10,FLO,5216,0,-55694
3,11,FLO,5541,0,325
3,12,FLO,11145,0,5604
3,13,FLO,8243,0,-2902
3,14,FLO,15989,0,7746
3,15,FLO,12200,0,-3789
3,16,FLO,10955,0,-1245
3,17,FLO,6845,0,-4110
3,18,FLO,27671,0,20826
3,19,FLO,74994,0,47323
3,20,FLO,14294,0,-60700
3,21,FLO,17502,0,3208
3,22,FLO,31572,0,14070
3,23,FLO,18532,0,-13040
3,24,FLO,9738,0,-8794
3,25,FLO,17898,0,8160
3,26,FLO,7696,0,-10202
3,27,FLO,9458,0,1762
3,28,FLO,11279,0,1821
3,29,FLO,21528,0,10249
3,30,FLO,8316,0,-13212
0,31,Spontaneous,5950,0,-2366
0,32,Spontaneous,7132,0,1182
0,33,Spontaneous,24436,0,17304
0,34,Spontaneous,14017,0,-10419
0,35,Spontaneous,8748,0,-5269
0,36,Spontaneous,102580,0,93832
0,37,Spontaneous,115106,0,12526
0,38,Spontaneous,77393,0,-37713
0,39,Spontaneous,54874,0,-22519
0,40,Spontaneous,12815,0,-42059
0,41,Spontaneous,7866,0,-4949
0,42,Spontaneous,5344,0,-2522
0,43,Spontaneous,8528,0,3184
0,44,Spontaneous,7001,0,-1527
0,45,Spontaneous,10214,0,3213
0,46,Spontaneous,11318,0,1104
0,47,Spontaneous,16039,0,4721
0,48,Spontaneous,16228,0,189
0,49,Spontaneous,109570,0,93342
0,50,Spontaneous,10616,0,-98954
0,51,Spontaneous,9551,0,-1065
0,52,Spontaneous,48411,0,38860
0,53,Spontaneous,18143,0,-30268
0,54,Spontaneous,15951,0,-2192
0,55,Spontaneous,14500,0,-1451
0,56,Spontaneous,11074,0,-3426
0,57,Spontaneous,14010,0,2936
0,58,Spontaneous,11480,0,-2530
0,59,Spontaneous,8516,0,-2964
0,60,Spontaneous,12053,0,3537
7,61,FLO,5462,0,-6591
7,62,FLO,7079,0,1617
7,63,FLO,12861,0,5782
7,64,FLO,9218,0,-3643
7,65,FLO,11137,0,1919
7,66,FLO,80360,0,69223
7,67,FLO,109553,1,29193
7,68,FLO,78483,0,-31070
7,69,FLO,76699,0,-1784
7,70,FLO,7665,0,-69034
7,71,FLO,4969,0,-2696
7,72,FLO,8722,0,3753
7,73,FLO,10390,0,1668
7,74,FLO,8979,0,-1411
7,75,FLO,7807,0,-1172
7,76,FLO,11147,0,3340
7,77,FLO,9966,0,-1181
7,78,FLO,34967,0,25001
7,79,FLO,102224,0,67257
7,80,FLO,10815,0,-91409
7,81,FLO,13312,0,2497
7,82,FLO,38942,0,25630
7,83,FLO,19998,0,-18944
7,84,FLO,11638,0,-8360
7,85,FLO,12469,0,831
7,86,FLO,17079,0,4610
7,87,FLO,9810,0,-7269
7,88,FLO,16521,0,6711
7,89,FLO,14473,0,-2048
7,90,FLO,15582,0,1109
5,91,Spontaneous,6062,0,-9520
5,92,Spontaneous,10732,0,4670
5,93,Spontaneous,7970,0,-2762
5,94,Spontaneous,11341,0,3371
5,95,Spontaneous,13649,0,2308
5,96,Spontaneous,76261,0,62612
5,97,Spontaneous,124955,0,48694
5,98,Spontaneous,70800,0,-54155
5,99,Spontaneous,67544,0,-3256
5,100,Spontaneous,9228,0,-58316
5,101,Spontaneous,6442,0,-2786
5,102,Spontaneous,8643,0,2201
5,103,Spontaneous,14095,0,5452
5,104,Spontaneous,12238,0,-1857
5,105,Spontaneous,13011,0,773
5,106,Spontaneous,15372,0,2361
5,107,Spontaneous,13731,0,-1641
5,108,Spontaneous,28134,0,14403
5,109,Spontaneous,80686,0,52552
5,110,Spontaneous,14231,0,-66455
5,111,Spontaneous,17189,0,2958
5,112,Spontaneous,46208,0,29019
5,113,Spontaneous,11530,0,-34678
5,114,Spontaneous,10312,0,-1218
5,115,Spontaneous,9399,0,-913
5,116,Spontaneous,9397,0,-2
5,117,Spontaneous,17658,0,8261
5,118,Spontaneous,9483,0,-8175
5,119,Spontaneous,12726,0,3243
5,120,Spontaneous,17362,0,4636
3,121,FLO,6781,0,-10581
3,122,FLO,12801,0,6020
3,123,FLO,14218,0,1417
3,124,FLO,17653,0,3435
3,125,FLO,10006,0,-7647
3,126,FLO,89340,0,79334
3,127,FLO,104056,1,14716
3,128,FLO,78089,0,-25967
3,129,FLO,60910,0,-17179
3,130,FLO,5216,0,-55694
3,131,FLO,5541,0,325
3,132,FLO,11145,0,5604
3,133,FLO,8243,0,-2902
3,134,FLO,15989,0,7746
3,135,FLO,12200,0,-3789
3,136,FLO,10955,0,-1245
3,137,FLO,6845,0,-4110
3,138,FLO,27671,0,20826
3,139,FLO,74994,0,47323
3,140,FLO,14294,0,-60700
3,141,FLO,17502,0,3208
3,142,FLO,31572,0,14070
3,143,FLO,18532,0,-13040
3,144,FLO,9738,0,-8794
3,145,FLO,17898,0,8160
3,146,FLO,7696,0,-10202
3,147,FLO,9458,0,1762
3,148,FLO,11279,0,1821
3,149,FLO,21528,0,10249
3,150,FLO,8316,0,-13212
5,151,FLO,6062,0,-2254
5,152,FLO,10732,0,4670
5,153,FLO,7970,0,-2762
5,154,FLO,11341,0,3371
5,155,FLO,13649,0,2308
5,156,FLO,76261,0,62612
5,157,FLO,150289,1,74028
5,158,FLO,71774,0,-78515
5,159,FLO,67561,0,-4213
5,160,FLO,9293,0,-58268
5,161,FLO,6397,0,-2896
5,162,FLO,8690,0,2293
5,163,FLO,14017,0,5327
5,164,FLO,12268,0,-1749
5,165,FLO,13064,0,796
5,166,FLO,15241,0,2177
5,167,FLO,13747,0,-1494
5,168,FLO,28150,0,14403
5,169,FLO,80542,0,52392
5,170,FLO,14238,0,-66304
5,171,FLO,17240,0,3002
5,172,FLO,46155,0,28915
5,173,FLO,11481,0,-34674
5,174,FLO,10397,0,-1084
5,175,FLO,9400,0,-997
5,176,FLO,9351,0,-49
5,177,FLO,17711,0,8360
5,178,FLO,9441,0,-8270
5,179,FLO,12714,0,3273
5,180,FLO,17375,0,4661
0,181,FLO,5950,0,-11425
0,182,FLO,7132,0,1182
0,183,FLO,24436,0,17304
0,184,FLO,14017,0,-10419
0,185,FLO,8748,0,-5269
0,186,FLO,102580,0,93832
0,187,FLO,130253,1,27673
0,188,FLO,79058,0,-51195
0,189,FLO,55046,0,-24012
0,190,FLO,12614,0,-42432
0,191,FLO,7952,0,-4662
0,192,FLO,5347,0,-2605
0,193,FLO,8414,0,3067
0,194,FLO,7029,0,-1385
0,195,FLO,10252,0,3223
0,196,FLO,11303,0,1051
0,197,FLO,16003,0,4700
0,198,FLO,16181,0,178
0,199,FLO,109649,0,93468
0,200,FLO,10577,0,-99072
0,201,FLO,9550,0,-1027
0,202,FLO,48445,0,38895
0,203,FLO,18210,0,-30235
0,204,FLO,15996,0,-2214
0,205,FLO,14568,0,-1428
0,206,FLO,11044,0,-3524
0,207,FLO,14017,0,2973
0,208,FLO,11485,0,-2532
0,209,FLO,8510,0,-2975
0,210,FLO,12043,0,3533
7,211,Spontaneous,5462,0,-6581
7,212,Spontaneous,7079,0,1617
7,213,Spontaneous,12861,0,5782
7,214,Spontaneous,9218,0,-3643
7,215,Spontaneous,11137,0,1919
7,216,Spontaneous,80360,0,69223
7,217,Spontaneous,87684,0,7324
7,218,Spontaneous,78251,0,-9433
7,219,Spontaneous,76618,0,-1633
7,220,Spontaneous,7615,0,-69003
7,221,Spontaneous,4993,0,-2622
7,222,Spontaneous,8712,0,3719
7,223,Spontaneous,10428,0,1716
7,224,Spontaneous,9082,0,-1346
7,225,Spontaneous,7815,0,-1267
7,226,Spontaneous,11223,0,3408
7,227,Spontaneous,9933,0,-1290
7,228,Spontaneous,34925,0,24992
7,229,Spontaneous,102265,0,67340
7,230,Spontaneous,10828,0,-91437
7,231,Spontaneous,13321,0,2493
7,232,Spontaneous,38897,0,25576
7,233,Spontaneous,19828,0,-19069
7,234,Spontaneous,11690,0,-8138
7,235,Spontaneous,12409,0,719
7,236,Spontaneous,17123,0,4714
7,237,Spontaneous,9805,0,-7318
7,238,Spontaneous,16595,0,6790
7,239,Spontaneous,14372,0,-2223
7,240,Spontaneous,15634,0,1262
3,241,FLO,6781,0,-8853
3,242,FLO,12801,0,6020
3,243,FLO,14218,0,1417
3,244,FLO,17653,0,3435
3,245,FLO,10006,0,-7647
3,246,FLO,89340,0,79334
3,247,FLO,104056,1,14716
3,248,FLO,78089,0,-25967
3,249,FLO,60910,0,-17179
3,250,FLO,5216,0,-55694
3,251,FLO,5541,0,325
3,252,FLO,11145,0,5604
3,253,FLO,8243,0,-2902
3,254,FLO,15989,0,7746
3,255,FLO,12200,0,-3789
3,256,FLO,10955,0,-1245
3,257,FLO,6845,0,-4110
3,258,FLO,27671,0,20826
3,259,FLO,74994,0,47323
3,260,FLO,14294,0,-60700
3,261,FLO,17502,0,3208
3,262,FLO,31572,0,14070
3,263,FLO,18532,0,-13040
3,264,FLO,9738,0,-8794
3,265,FLO,17898,0,8160
3,266,FLO,7696,0,-10202
3,267,FLO,9458,0,1762
3,268,FLO,11279,0,1821
3,269,FLO,21528,0,10249
3,270,FLO,8316,0,-13212
7,271,Spontaneous,5462,0,-2854
7,272,Spontaneous,7079,0,1617
